,enumerator,geo_location,district,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
138,yogendra,28.1060616 81.5971125 83.9424239534995 4.551,Banke,sw,bk-sw-25_1,,,,35,4.25,0.5,3.4,,2021-05-31,,bk-sw-25_1,May
139,yogendra,28.0830268 81.5956128 85.93129539776979 4.854,Banke,sw,bk-sw-27,,,,40,5.25,0.5,4.35,,2021-05-31,,bk-sw-27,May
140,yogendra,28.078065 81.5932423 99.70166537230462 4.803,Banke,sw,bk-sw-26,,,,25,5.0,1.65,3.1,,2021-05-31,,bk-sw-26,May
141,yogendra,27.9833037 81.7134115 91.00598286154765 4.551,Banke,sw,bk-sw-10_1,,,,70,5.0,1.38,2.92,,2021-05-30,,bk-sw-10_1,May
142,yogendra,28.0285084 81.6947302 99.94750067742251 4.551,Banke,sw,bk-sw-30,,,,55,6.0,1.1,4.35,,2021-05-30,,bk-sw-30,May
143,yogendra,28.049366 81.6617059 103.19010667812974 4.854,Banke,sw,bk-sw-08_1,,,,36,8.0,1.4,6.24,,2021-05-30,,bk-sw-08_1,May
144,yogendra,28.0020503 81.6523608 77.31210202905177 4.854,Banke,sw,bk-sw-29,,,,40,7.0,2.0,4.6,,2021-05-28,,bk-sw-29,May
145,yogendra,28.0151196 81.6543402 89.1867064656052 4.551,Banke,sw,bk-sw-09_1,,,,60,5.0,1.74,2.66,,2021-05-28,,bk-sw-09_1,May
146,yogendra,28.0242824 81.6002927 83.85836656317899 4.854,Banke,sw,bk-sw-11_1,,,,50,7.0,1.5,5,,2021-05-28,,bk-sw-11_1,May
147,Anita,28.3065034 81.3591938 82.84473526781777 4.803,Bardiya,sw,,,bd-sw-11,,75,6.0,1.7,3.55,,2021-05-12,,bd-sw-11,May
148,Àñità,28.3056538 81.3593227 98.33427251366963 4.551,Bardiya,sw,,,bd-sw-10,,60,5.0,1.0,3.4,,2021-05-12,,bd-sw-10,May
149,Añita,28.3061841 81.3597472 97.73312643004091 4.551,Bardiya,sw,,,bd-sw-07,,45,6.0,1.0,4.55,,2021-05-12,,bd-sw-07,May
150,Anita,28.351191 81.4297489 109.68273454813199 4.854,Bardiya,sw,,,bd-sw-08,,40,6.0,1.8,3.8,,2021-05-12,,bd-sw-08,May
151,Anita,28.2897791 81.4420663 108.20380514467726 4.803,Bardiya,sw,,,bd-sw-04,,32,5.0,1.0,3.68,,2021-05-12,,bd-sw-04,May
152,Anita,28.2272298 81.5711189 105.65349682577164 4.803,Bardiya,sw,,,bd-sw-22,,10,8.0,1.5,6.4,,2021-05-12,,bd-sw-22,May
153,Anita,28.2490759 81.5850066 105.65349682577164 4.854,Bardiya,sw,,,bd-sw-21,,40,8.0,1.8,5.8,,2021-05-12,,bd-sw-21,May
154,Anita,28.2363039 81.5474052 111.57403489786903 4.551,Bardiya,sw,,,bd-sw-02,,0,4.0,1.4,2.6,,2021-05-12,,bd-sw-02,May
155,Anita,28.0726661 81.5550289 88.4754930469689 4.803,Bardiya,sw,,,bd-sw-16,,60,6.0,1.0,4.4,,2021-05-11,,bd-sw-16,May
